code,name,gender,function,category,country_code,country,country_full,disciplines,events
1904772,RICHARDSON MOLLY,Female,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
1904775,TRANDABURU IONUT,Male,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
1904996,JANKOVSKY VIKTOR,Male,Coach,C,CZE,Czechia,Czechia,Taekwondo,
1904998,ZHEREBCHEVSKYI ANTON,Male,Coach,C,CZE,Czechia,Czechia,Taekwondo,
1904999,HYBRANT BOHUSLAV,Male,Coach,C,CZE,Czechia,Czechia,Taekwondo,
1906041,FOULARD GAEL,Male,Head Coach,C,FRA,France,France,Hockey,
1906042,JAQUET NICOLAS,Male,Assistant Coach,C,FRA,France,France,Hockey,
1906448,LORANTOS THEODOROS,Male,Head Coach,C,FRA,France,France,Water Polo,Women
1906454,DERENTY LORENE,Female,Assistant Coach,C,FRA,France,France,Water Polo,Women
1906462,BRUZZO FLORIAN,Male,Head Coach,C,FRA,France,France,Water Polo,Men
1906468,KOBESCAK VJEKOSLAV,Male,Assistant Coach,C,FRA,France,France,Water Polo,Men
1908234,MENDEZ MARCELO,Male,Head Coach,C,ARG,Argentina,Argentina,Volleyball,Men
1908241,LOPEZ MARTIN,Male,Assistant Coach,C,ARG,Argentina,Argentina,Volleyball,Men
1908245,RICO GOLBA PABLO,Male,Assistant Coach,C,ARG,Argentina,Argentina,Volleyball,Men
1908299,ALVAREZ JORGE,Male,Coach,C,ARG,Argentina,Argentina,Taekwondo,
1908401,ARROYO GAVIN,Male,Assistant Coach,C,USA,United States,United States of America,Water Polo,Men
1908402,UDOVICIC DEJAN,Male,Head Coach,C,USA,United States,United States of America,Water Polo,Men
1908403,USTASZEWSKI MATT,Male,Assistant Coach,C,USA,United States,United States of America,Water Polo,Men
1908408,CAHILL MOLLY,Female,Assistant Coach,C,USA,United States,United States of America,Water Polo,Women
1908409,KRIKORIAN ADAM,Male,Head Coach,C,USA,United States,United States of America,Water Polo,Women
1908410,OEDING CHRIS,Male,Assistant Coach,C,USA,United States,United States of America,Water Polo,Women
1908549,AMADOU SOUMAILA,Male,Coach,C,NIG,Niger,Niger,Taekwondo,
1908649,KWIEK MARCOS,Male,Head Coach,C,DOM,Dominican Republic,Dominican Republic,Volleyball,Women
1908654,ROCHA PACHECO WAGNER,Male,Assistant Coach,C,DOM,Dominican Republic,Dominican Republic,Volleyball,Women
1908776,YAMAMOTO HAYATO,Male,Assistant Coach,C,JPN,Japan,Japan,Rugby Sevens,Women
1908788,AMOR SIMON DANIEL EDWARD,Male,Head Coach,C,JPN,Japan,Japan,Rugby Sevens,Men
1908796,SUZUKI TAKASHI,Male,Head Coach,C,JPN,Japan,Japan,Rugby Sevens,Women
1908800,SAKATA TAKAHIRO,Male,Assistant Coach,C,JPN,Japan,Japan,Rugby Sevens,Men
1908801,UMEDA KOICHI,Male,Assistant Coach,C,JPN,Japan,Japan,Rugby Sevens,Men
1908804,KANEMATSU YUKA,Female,Assistant Coach,C,JPN,Japan,Japan,Rugby Sevens,Women
