medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Bronze Medal,3,2024-08-04,ELEFTHERIOS PETROUNIAS,GRE,M,Artistic Gymnastics,Men's Rings,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-rings/fnl-000001--,1961314
Gold Medal,1,2024-08-04,CARLOS EDRIEL YULO,PHI,M,Artistic Gymnastics,Men's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-vault/fnl-000001--,1975874
Silver Medal,2,2024-08-04,ARTUR DAVTYAN,ARM,M,Artistic Gymnastics,Men's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-vault/fnl-000001--,1915828
Bronze Medal,3,2024-08-04,HARRY HEPWORTH,GBR,M,Artistic Gymnastics,Men's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-vault/fnl-000001--,1904740
Gold Medal,1,2024-08-04,KAYLIA NEMOUR,ALG,W,Artistic Gymnastics,Women's Uneven Bars,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-uneven-bars/fnl-000001--,1545688
Silver Medal,2,2024-08-04,QIU QIYUAN,CHN,W,Artistic Gymnastics,Women's Uneven Bars,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-uneven-bars/fnl-000001--,1918872
Bronze Medal,3,2024-08-04,SUNISA LEE,USA,W,Artistic Gymnastics,Women's Uneven Bars,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-uneven-bars/fnl-000001--,1959866
Gold Medal,1,2024-08-04,NOAH LYLES,USA,M,Athletics,Men's 100m,ATH,/en/paris-2024/results/athletics/men-s-100m/fnl-000100--,1960173
Silver Medal,2,2024-08-04,KISHANE THOMPSON,JAM,M,Athletics,Men's 100m,ATH,/en/paris-2024/results/athletics/men-s-100m/fnl-000100--,1980161
Bronze Medal,3,2024-08-04,FRED KERLEY,USA,M,Athletics,Men's 100m,ATH,/en/paris-2024/results/athletics/men-s-100m/fnl-000100--,1960958
Gold Medal,1,2024-08-04,ETHAN KATZBERG,CAN,M,Athletics,Men's Hammer Throw,ATH,/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--,1974151
Silver Medal,2,2024-08-04,BENCE HALASZ,HUN,M,Athletics,Men's Hammer Throw,ATH,/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--,1916814
Bronze Medal,3,2024-08-04,MYKHAYLO KOKHAN,UKR,M,Athletics,Men's Hammer Throw,ATH,/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--,1571563
Gold Medal,1,2024-08-04,YAROSLAVA MAHUCHIKH,UKR,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--,1571559
Silver Medal,2,2024-08-04,NICOLA OLYSLAGERS,AUS,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--,1939838
Bronze Medal,3,2024-08-04,IRYNA GERASHCHENKO,UKR,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--,1571577
Bronze Medal,3,2024-08-04,ELEANOR PATTERSON,AUS,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--,1939763
Gold Medal,1,2024-08-04,LEE/WANG,TPE,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--,BDMMDOUBLES-TPE01
Silver Medal,2,2024-08-04,LIANG/WANG,CHN,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--,BDMMDOUBLES-CHN02
