start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url
2024-08-10 16:11:00.000,2024-08-10 16:17:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group B,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpb-000100--
2024-08-10 16:17:00.000,2024-08-10 16:23:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group B,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpb-000200--
2024-08-10 16:23:00.000,2024-08-10 16:29:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group C,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpc-000100--
2024-08-10 16:29:00.000,2024-08-10 16:35:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group C,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpc-000200--
2024-08-10 16:35:00.000,2024-08-10 16:41:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group D,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpd-000100--
2024-08-10 16:36:00.000,2024-08-10 16:49:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Semifinals,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/sfnl000100--
2024-08-10 16:41:00.000,2024-08-10 16:48:30.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group D,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpd-000200--
2024-08-10 16:49:00.000,2024-08-10 16:55:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group A,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpa-000300--
2024-08-10 16:55:00.000,2024-08-10 17:01:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group A,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpa-000400--
2024-08-10 17:00:00.000,2024-08-10 18:45:00.000,2024-08-10,FINISHED,Football,FBL,Women,1,Women's Finals,W,HTEAM,Parc des Princes,PDP,"Parc des Princes, Paris",PDP,/en/paris-2024/results/football/women/fnl-000100--
2024-08-10 17:01:00.000,2024-08-10 17:07:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group B,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpb-000300--
2024-08-10 17:02:00.000,2024-08-10 17:15:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Semifinals,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/sfnl000200--
2024-08-10 17:07:00.000,2024-08-10 17:13:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group B,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpb-000400--
2024-08-10 17:13:00.000,2024-08-10 17:19:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group C,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpc-000300--
2024-08-10 17:15:00.000,2024-08-10 19:30:00.000,2024-08-10,FINISHED,Volleyball,VVO,Women,3,Women's Finals,W,HTEAM,South Paris Arena 1,SP1,South Paris Arena 1,SP1,/en/paris-2024/results/volleyball/women/fnl-000200--
2024-08-10 17:19:00.000,2024-08-10 17:25:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group C,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpc-000400--
2024-08-10 17:25:00.000,2024-08-10 17:31:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group D,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpd-000300--
2024-08-10 17:31:00.000,2024-08-10 17:38:30.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group D,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpd-000400--
2024-08-10 17:38:00.000,2024-08-10 17:44:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group A,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpa-000500--
2024-08-10 17:44:00.000,2024-08-10 17:50:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group A,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpa-000600--
2024-08-10 17:50:00.000,2024-08-10 17:56:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group B,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpb-000500--
2024-08-10 17:56:00.000,2024-08-10 18:02:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group B,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpb-000600--
2024-08-10 18:02:00.000,2024-08-10 18:08:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group C,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpc-000500--
2024-08-10 18:08:00.000,2024-08-10 18:14:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group C,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpc-000600--
2024-08-10 18:14:00.000,2024-08-10 18:20:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group D,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpd-000500--
2024-08-10 18:20:00.000,2024-08-10 18:26:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group D,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpd-000600--
